"group","local_path","source_url","retrieved_at_utc","status","http_status","content_type","size_bytes","sha256","error","data_origin"
"wsdot_c8078_schedule","raw/wsdot/C8078/schedules/2011-01-21.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-13%20Project%20Schedule/2011-01-21.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"1111727","e601a777823c9c2a7b7166395b463651882a1b8370fb29dbe615bedcb9cfa3ba","","real"
"wsdot_c8078_schedule","raw/wsdot/C8078/schedules/2011-02-14-.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-13%20Project%20Schedule/2011-02-14-.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"1268635","2a75a0e42173e03f6f8040904137af859ce8c55387cd10ddc54d0e12bbdbb421","","real"
"wsdot_c8078_context","raw/wsdot/C8078/project_context/C8078-Progress-Estimate-2.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/C8078%20-%20Progress%20Estimate%202.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"1757299","e8be10b0002c587d5635f219cb4dd2227972b280cacf4813812c71b4514c6342","","real"
"wsdot_c8078_context","raw/wsdot/C8078/project_context/Est-2011-03-03.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-27%20Estimates/Est-2011-03-03.pdf","2026-09-01T09:37:57.0464752Z","downloaded","200","application/pdf","11859601","90eb5ffc65347e844e577dd9a836a5aebe4e3ea4075adce745e6a4fee993639a","","real"
"wsdot_c8078_contract_time","raw/wsdot/C8078/contract_time/2011-02-15-1.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-4%20Contract%20Time/2011-02-15-1.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"955005","2a3f04f2afb6edd21a0577153ca669394dc3f410c61acd39b00827c5fa8af3a1","","real"
"wsdot_c8078_contract_time","raw/wsdot/C8078/contract_time/2011-02-23-2.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-4%20Contract%20Time/2011-02-23-2.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"552295","1c87cbf83709076490c1a47172357821c408c07e2bf0d2161adffb71339b9085","","real"
"wsdot_c8078_contract_time","raw/wsdot/C8078/contract_time/2011-03-01-3.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-4%20Contract%20Time/2011-03-01-3.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"911214","e249877d8b0ba6bfa16576eb71feb150c922455b80163a38a94e20ad549ba181","","real"
"wsdot_c8078_contract_time","raw/wsdot/C8078/contract_time/2011-03-02-4.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-4%20Contract%20Time/2011-03-02-4.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"862158","011efb9753933dc89f5a55d098991d82258f2ebdb3d1bbaddfbd651597bc6d21","","real"
"wsdot_c8078_contract_time","raw/wsdot/C8078/contract_time/2011-09-27.pdf","https://data.wsdot.wa.gov/accountability/ssb5806/Repository/7_Project%20Delivery/C-8078%20-%20Temp%20Test%20Pile/1-4%20Contract%20Time/2011-09-27.pdf","2026-09-01T09:37:57.0464752Z","already_present",,,"55571","4b309a81876bc7ec6823b51e3661d4eecf886a199e5f28c5f3d4615f82652579","","real"
"wsdot_reference","raw/wsdot/reference/DOT-Form-422-004.pdf","https://wsdot.wa.gov/publications/fulltext/forms/422-004.PDF","2026-09-01T09:37:57.0464752Z","already_present",,,"411803","bd15334fc8484f667058fa7659a42c04d798fa34ac1aa4073c02eaa9efe6b886","","real"
"wsdot_reference","raw/wsdot/reference/DOT-Form-422-004A.pdf","https://wsdot.wa.gov/publications/fulltext/forms/422-004A.PDF","2026-09-01T09:37:57.0464752Z","downloaded","200","application/pdf","206966","6347a9bf801b40193779eedd8a7a673252cc070733b993f5404d7acd6c30d274","","real"
"wsdot_reference","raw/wsdot/reference/DOT-Form-422-004B.pdf","https://wsdot.wa.gov/publications/fulltext/forms/422-004B.PDF","2026-09-01T09:37:57.0464752Z","downloaded","200","application/pdf","923355","59191b3aa69673c4db0200cd8fd5f61d6272f5a0daa4788d1973b6513bead3a2","","real"
"wsdot_reference","raw/wsdot/reference/WSDOT-Construction-Manual-M41-01.47.pdf","https://wsdot.wa.gov/publications/manuals/fulltext/M41-01/M4101.47Complete.pdf","2026-09-01T09:37:57.0464752Z","downloaded","200","application/pdf","11912817","c09730996dd1911f35d6f839d0cefc221147282fc16df0b63e2aeddb30beb312","","real"
