file,row_count,data_origin,is_real,source_artifact_id,content_transformation,verification_status
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015.csv,15375,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Ac.csv,926,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Co.csv,392,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_EF.csv,107,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_En.csv,530,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_FI.csv,95,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_PM.csv,775,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Pr.csv,7891,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Ro.csv,232,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_SL.csv,1040,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Ss.csv,2415,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Tables.csv,12,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_TE.csv,831,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
normalized/uniclass/snapshot_2022/native_csv/Uniclass2015_Zz.csv,129,real,True,sha256:683bfdf756f0fe4dacb4a57002dd18c6548515f63aed19dc2aaa2181e5507005,none,identity_copy_hash_verified
